elapsed_s,value,temp,kind
90.422,5554158,32.4,raw
90.492,5554166,32.4,raw
90.685,5554174,32.4,raw
90.756,5554179,32.4,raw
90.949,5554180,32.4,raw
91.019,5554179,32.4,raw
91.217,5554176,32.4,raw
91.288,5554172,32.4,raw
91.482,5554171,32.4,raw
91.552,5554173,32.4,raw
91.746,5554177,32.4,raw
91.816,5554184,32.4,raw
92.010,5554194,32.4,raw
92.083,5554204,32.4,raw
92.278,5554213,32.4,raw
92.349,5554221,32.4,raw
92.542,5554228,32.4,raw
92.613,5554236,32.4,raw
92.806,5554246,32.4,raw
92.876,5554257,32.4,raw
93.073,5554266,32.4,raw
93.145,5554276,32.4,raw
93.339,5554283,32.4,raw
93.409,5554288,32.4,raw
93.603,5554292,32.4,raw
93.673,5554294,32.4,raw
93.866,5554295,32.4,raw
93.940,5554295,32.5,raw
94.136,5554294,32.5,raw
94.205,5554294,32.5,raw
94.399,5554294,32.5,raw
94.469,5554293,32.5,raw
94.663,5554291,32.5,raw
94.733,5554290,32.5,raw
94.930,5554288,32.4,raw
95.002,5554284,32.4,raw
95.196,5554279,32.4,raw
95.266,5554274,32.4,raw
95.459,5554269,32.4,raw
95.529,5554263,32.4,raw
95.723,5554257,32.4,raw
95.796,5554252,32.4,raw
95.992,5554247,32.4,raw
96.063,5554244,32.4,raw
96.256,5554244,32.4,raw
96.326,5554244,32.4,raw
96.520,5554246,32.4,raw
96.590,5554248,32.4,raw
96.787,5554248,32.4,raw
96.859,5554248,32.4,raw
97.052,5554247,32.4,raw
97.123,5554244,32.4,raw
97.317,5554243,32.4,raw
97.387,5554242,32.4,raw
97.580,5554242,32.4,raw
97.653,5554244,32.4,raw
97.849,5554247,32.4,raw
97.919,5554250,32.4,raw
98.113,5554253,32.4,raw
98.183,5554256,32.4,raw
98.377,5554259,32.4,raw
98.446,5554262,32.4,raw
98.643,5554262,32.5,raw
98.716,5554262,32.5,raw
98.909,5554261,32.5,raw
98.979,5554258,32.5,raw
99.173,5554257,32.5,raw
99.243,5554257,32.5,raw
99.437,5554259,32.5,raw
99.510,5554261,32.5,raw
99.706,5554263,32.5,raw
99.776,5554265,32.5,raw
99.970,5554267,32.5,raw
100.040,5554268,32.5,raw
100.234,5554269,32.5,raw
100.304,5554269,32.5,raw
100.500,5554268,32.5,raw
100.572,5554267,32.5,raw
100.767,5554266,32.5,raw
100.836,5554266,32.5,raw
101.030,5554269,32.5,raw
101.100,5554273,32.5,raw
101.294,5554278,32.5,raw
101.367,5554283,32.4,raw
101.563,5554289,32.4,raw
101.633,5554294,32.4,raw
101.827,5554299,32.4,raw
101.896,5554304,32.4,raw
102.091,5554309,32.4,raw
102.160,5554313,32.4,raw
102.357,5554318,32.5,raw
102.429,5554322,32.5,raw
102.623,5554325,32.5,raw
102.693,5554326,32.5,raw
102.887,5554327,32.5,raw
102.957,5554327,32.5,raw
103.151,5554326,32.5,raw
103.224,5554326,32.5,raw
103.420,5554326,32.5,raw
103.490,5554326,32.5,raw
103.684,5554327,32.5,raw
103.754,5554330,32.5,raw
103.947,5554334,32.5,raw
104.017,5554337,32.5,raw
104.214,5554339,32.5,raw
104.286,5554340,32.5,raw
104.480,5554337,32.5,raw
104.550,5554332,32.5,raw
104.744,5554327,32.5,raw
104.814,5554321,32.5,raw
105.008,5554313,32.5,raw
105.081,5554305,32.4,raw
105.277,5554296,32.4,raw
105.346,5554286,32.4,raw
105.540,5554276,32.4,raw
105.611,5554267,32.4,raw
105.804,5554255,32.4,raw
105.874,5554245,32.4,raw
106.071,5554236,32.5,raw
106.143,5554228,32.5,raw
106.337,5554220,32.5,raw
106.406,5554214,32.5,raw
106.601,5554208,32.5,raw
106.671,5554202,32.5,raw
106.864,5554195,32.5,raw
106.938,5554189,32.5,raw
107.133,5554183,32.5,raw
107.203,5554177,32.5,raw
107.398,5554175,32.5,raw
107.467,5554174,32.5,raw
107.661,5554174,32.5,raw
107.730,5554174,32.5,raw
107.928,5554174,32.5,raw
108.000,5554174,32.5,raw
108.193,5554174,32.5,raw
108.264,5554177,32.5,raw
108.458,5554182,32.5,raw
108.528,5554188,32.5,raw
108.722,5554198,32.5,raw
108.795,5554208,32.5,raw
108.990,5554216,32.5,raw
109.060,5554222,32.5,raw
109.254,5554226,32.5,raw
109.325,5554229,32.5,raw
109.518,5554232,32.5,raw
109.588,5554234,32.5,raw
109.785,5554237,32.5,raw
109.857,5554241,32.5,raw
